"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0275","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0276","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0277","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0278","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0279","Verfügbar",,"Kabeltrommel Schuko 35m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","160,71","IMG_5152.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0280","Verfügbar",,"Kabeltrommel Schuko 35m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","160,71","IMG_5152.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0281","Verfügbar",,"Kabeltrommel Schuko 35m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","160,71","IMG_5152.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0282","Verfügbar",,"Kabeltrommel Schuko 35m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","160,71","IMG_5152.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0283","Verfügbar",,"Kabeltrommel Schuko 35m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","160,71","IMG_5152.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,"https://www.amazon.de/dp/B07DPRKDRP/ref=sspa_dk_detail_1?pd_rd_i=B07DPR7QYM&pd_rd_w=nQ4RE&pf_rd_p=d653785b-379e-4f45-87ba-2d67ddb0eb39&pd_rd_wg=yoFUq&pf_rd_r=SCE8XJBQ68HBSVJRSDD0&pd_rd_r=957f07a0-62b6-42cd-aec8-4ba285936cb2&s=diy&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlo5QVZDN0hKRTFVJmVuY3J5cHRlZElkPUEwMDg4MDgzMURTRVpBRDVSVjBNRCZlbmNyeXB0ZWRBZElkPUEwMjE5NTgzMkRLQ1E3NzBZRjBJUCZ3aWRnZXROYW1lPXNwX2RldGFpbDImYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"0284","Verfügbar",,"CEE 32A Stromverteiler",,"CEE Stromverteiler","Grau",,,,"IMG_5242.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,"Eingang: CEE-Stecker 32A mit 2m Zuleitung
Ausgang: 1x CEE-Buchse 32A (ungesichert); 2x CEE-Buchse 16A (über einen LS 3-pol 16A); 4x Schuko-Steckdose (jeweils einzeln abgesichert LS 16A); +FI"
"0285","Verfügbar",,"CEE 16A Verlängerung 30m",,"CEE Verlängerung","Schwarz",,,,"IMG_5249.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0286","Verfügbar",,"CEE 16A Verlängerung 50m",,"CEE Verlängerung","Schwarz",,,,"IMG_5256.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0287","Verfügbar",,"CEE 32A Verlängerung 50m auf Kabeltrommel",,"CEE Verlängerung","Schwarz",,,,"IMG_5259.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0288","Verfügbar",,"CEE 16A Stromverteiler mit 25m Zuleitung auf Kabeltrommel",,"CEE Stromverteiler","Schwarz",,,,"IMG_5267.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,"Eingang: CEE-Stecker 16A
Ausgang: 1x CEE-Buchse 16A; 2x Schuko-Steckdose"
"0289","Verfügbar",,"CEE 63A Verlängerung 3m",,"CEE Verlängerung","Schwarz",,,,"IMG_5276.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0290","Verfügbar",,"CEE Adapter 32A Stecker auf 63A Buchse",,"CEE Adapter","Schwarz",,,,"IMG_5281.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0291","Verfügbar",,"CEE 32A Verlängerung 1m",,"CEE Verlängerung","Grau",,,,"IMG_5287.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0292","Verfügbar",,"CEE Adapter 16A Stecker auf 32A Buchse",,"CEE Adapter","Schwarz",,,,"IMG_5293.jpg","Werkzeugcontainer","[""Medientechnik""]",,,,
"0296","Verfügbar","Gravity","LS 431 B - Lighting Stand",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0298","Verfügbar","Gravity","LS 431 B - Lighting Stand",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0300","Verfügbar","Gravity","LS 431 B - Lighting Stand",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0302","Verfügbar","Gravity","LS 431 B - Lighting Stand",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0297","Verfügbar","Gravity","LS 431 B - Square Steel Base",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0299","Verfügbar","Gravity","LS 431 B - Square Steel Base",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
"0301","Verfügbar","Gravity","LS 431 B - Square Steel Base",,"Lichtstativ","Schwarz",,"13.06.2022",,"IMG_7394.JPG","Studio","[""Medientechnik""]","[""Video"",""Licht""]",,,
